"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/6/23 2:31 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","In 1995, I wrote about “the internet tidal wave.” I even mentioned how the CD-ROM business would be dramatically impacted by the Internet. It’s fun to look back and think about how far technology has come. https://t.co/IxntEFc6bh",,,276.0,"1665788370256265217"
6/3/23 1:48 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","The world has made incredible progress against polio and other infectious diseases. I am thankful for partners like @UNICEF_Nigeria for their work to ensure all children receive the vaccines they need. https://t.co/1ogLudBllI",,,207.0,"1664690445513904128"
6/3/23 1:23 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Vaccines work to #EndPolio and protect communities from dozens of other diseases. I am heartened to see that the #BigCatchUp is underway. https://t.co/oaLSgsD6Wv",,,123.0,"1664684185737650177"
6/2/23 1:57 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>",".@bjornlomborg and I agree—the Global Goals are a phenomenal idea. This is the perfect time to assess our progress, recognize what’s working, admit what isn’t, and refine our approach so we can do the most good for the people most in need. https://t.co/H62VbgRkyl",,,175.0,"1664330408006402048"
6/1/23 10:42 PM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Here’s what I’m listening to this summer. Hopefully, you’ll think it’s not too bad for a granddad. https://t.co/Li0dybFd9J",,,121.0,"1664281274012569602"
6/1/23 1:49 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I hope you have plenty of content to enjoy this summer. If you’re looking to add to your list, I’ve got a few recommendations: https://t.co/KJo4B0BDP9 https://t.co/iXhEWv7sXm",,,164.0,"1663965924461006848"
5/31/23 6:53 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I’m excited by the positive momentum around the Global Health Emergency Corps at last week’s #WHA76. It’s critical that countries don’t let their guard down and join the effort to build a strong global network to help prevent and contain pandemic threats. https://t.co/qraK78Dz3p",,,94.0,"1663680074175098881"
5/31/23 5:51 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","For the past decade, I’ve recommended books to read each summer. This year, I’m mixing it up. https://t.co/Y4gdaGYxzU",,,185.0,"1663664565094322176"
5/31/23 12:45 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @gatesfoundation: The transition to high school is a game-changer, and ninth grade sets the stage for success in high school, college, a…",,,86.0,"1663587466979459078"
5/26/23 3:12 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","It was an honor to meet Navajo Nation President @BuuVanNygren and First Lady @NygrenJasmine. https://t.co/COYtIsvGTP",,,611.0,"1661812592074194945"
5/26/23 1:02 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @MSuzman: For @GatesFoundation, our focus is driving a responsible approach to #AI that will be inclusive, equitable, & reflect the need…",,,134.0,"1661779678829637632"
5/20/23 1:09 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Really good news: Renewables now account for about one third of electricity generation globally, and the share is increasing. https://t.co/U3zsdUjbUm",,,1007.0,"1659607133091139584"
5/18/23 11:57 PM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @gatesfoundation: Still today, your zip code, access to care, and color of your skin can determine whether or not you and your baby surv…",,,189.0,"1659226782669709313"
5/17/23 1:37 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I often say Richard Feynman is the best teacher I never had. If you haven’t already, check out his work. Beyond his immense talent as an educator,  he’s also quite the character. https://t.co/jC6iP7uaKT",,,564.0,"1658527008387923969"
5/15/23 10:11 PM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","My message to the class of 2023. https://t.co/Zduz6ldbN5",,,371.0,"1658112824604803079"
5/12/23 10:35 PM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Ric was employee number 2 at Microsoft and a dear friend. He was also a tireless philanthropist, an advocate for LGBTQ+ rights and HIV/AIDS research, and an inspiration to me and so many others. His story is worth a watch: https://t.co/ASS0hp3Eug",,,240.0,"1657031689644695554"
5/12/23 4:43 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @AlzData: Applications are now open for the William H. Gates Sr. Fellowship from the AD Data Initiative! The two-year fellowship will su…",,,143.0,"1656761885746950144"
5/12/23 4:42 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Building a clean energy future will require a lot of new wires—the U.S. will need to grow the grid by almost two-thirds its current size in the next decade. https://t.co/XFkonneN3X",,,309.0,"1656761693190651906"
5/12/23 2:03 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","It’s possible to build nuclear reactors without enormous costs—to our environment, our economy, or our health. This article details how it can be done to increase clean energy infrastructure. https://t.co/r01GHEg4Iq",,,352.0,"1656721701915475968"
5/11/23 3:20 AM,"Bill Gates","50393960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","I had the best day in Kemmerer, Wyoming. Over a coal plant tour, a site visit of the future Natrium plant, burgers, ice cream, and coffee, I got excited about the clean energy transition and the promise of next-generation nuclear: https://t.co/V8RO00hXKU https://t.co/kOInWbsJBE",,,256.0,"1656378807912382464"
