Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region
Afghanistan,,,4367,4553,5146,6167,6925,8556,10297,12066,15325,17890.0,20293.0,20170.0,20616.0,20057.0,18020.0,18883.0,18401.0,18876.0,South
Armenia,1912.0,2118.0,2376,2807,3577,4900,6384,9206,11662,8648,9260,10142.0,10619.0,11121.0,11610.0,10553.0,10546.0,11527.0,12458.0,13619.0,West
Azerbaijan,5273.0,5475.0,6232,7276,8682,13273,21027,33090,48979,44289,52913,65990.0,69687.0,74160.0,75240.0,50844.0,37830.0,41375.0,47113.0,48174.0,West
Bahrain,9063.0,9189.0,9594,11075,13150,15969,18505,21730,25711,22938,25713,28777.0,30749.0,32539.0,33388.0,31051.0,32235.0,35474.0,37802.0,38654.0,West
Bangladesh,61687.0,62537.0,65036,71755,77152,79530,86028,95374,109765,122760,138094,154097.0,159749.0,179676.0,207102.0,233687.0,265236.0,293755.0,321379.0,351238.0,South
Bhutan,423.0,441.0,481,572,649,758,812,995,1260,1184,1399,1695.0,1772.0,1806.0,1784.0,1974.0,2064.0,2294.0,2509.0,2452.0,South
Brunei,6650.0,6206.0,6475,7266,8723,10561,12710,13571,15975,11893,13707,18527.0,19047.0,18092.0,17098.0,12931.0,11399.0,12128.0,13568.0,13470.0,Southeast
Cambodia,3667.0,3992.0,4289,4665,5334,6286,7267,8630,10341,10391,11232,12817.0,14056.0,15227.0,16702.0,18082.0,20043.0,22206.0,24598.0,27087.0,Southeast
China,1205532.0,1333649.0,1465829,1656962,1949446,2290019,2754149,3555655,4577280,5088992,6033830,7492212.0,8539584.0,9624928.0,10524241.0,11113508.0,11226897.0,12265327.0,13841812.0,14340600.0,East
Cyprus,9988.0,10397.0,11422,14552,17328,18713,20422,24082,27955,26020,25821,27637.0,25063.0,23960.0,23232.0,19911.0,21040.0,22938.0,25609.0,25948.0,West
Georgia,3144.0,3311.0,3493,4103,5269,6590,7979,10458,13158,11069,12242,15107.0,16489.0,17188.0,17627.0,14953.0,15141.0,16242.0,17599.0,17477.0,West
India,476610.0,493953.0,523970,618358,721589,834217,949117,1238700,1224096,1365373,1708460,1823052.0,1827637.0,1856721.0,2039127.0,2103588.0,2294797.0,2651474.0,2702930.0,2835606.0,South
Indonesia,179482.0,174507.0,212807,255428,279556,310815,396293,470144,558582,577539,755256,892590.0,919002.0,916646.0,891051.0,860741.0,932066.0,1015488.0,1042711.0,1119452.0,Southeast
Iran,366917.0,330978.0,132682,158416,188961,228428,272361,360928,425699,440408,517899,625430.0,421882.0,428321.0,460809.0,408288.0,458042.0,486829.0,246318.0,241658.0,South
Iraq,25857.0,18936.0,18970,15800,36642,50065,65144,88833,131614,111660,138517,185750.0,218032.0,234638.0,234651.0,177634.0,167807.0,192343.0,227186.0,234019.0,West
Israel,136034.0,134637.0,125060,131299,139974,147084,158670,184053,220530,211968,238364,266792.0,262283.0,297733.0,314330.0,303414.0,322103.0,358246.0,376692.0,402470.0,West
Japan,4968360.0,4374710.0,4182845,4519564,4893135,4831467,4601663,4579750,5106679,5289494,5759072,6233148.0,6272362.0,5212328.0,4896995.0,4444931.0,5003678.0,4930837.0,5040881.0,5117995.0,East
Jordan,8725.0,9268.0,9972,10575,11771,13134,15795,17957,22648,24538,27134,29524.0,31679.0,34503.0,36900.0,38642.0,39949.0,41667.0,43432.0,45058.0,West
Kazakhstan,18292.0,22153.0,24637,30834,43152,57125,81003,104850,133442,115309,148047,192626.0,207999.0,236635.0,221416.0,184388.0,137289.0,166806.0,179340.0,181667.0,Central
Kuwait,37721.0,34886.0,38135,47844,59439,80807,101559,114677,147402,105992,115401,154020.0,174066.0,174179.0,162695.0,114606.0,109381.0,120687.0,138202.0,136192.0,West
Kyrgyzstan,1368.0,1525.0,1606,1920,2214,2459,2837,3807,5139,4690,4794,6198.0,6604.0,7335.0,7467.0,6678.0,6813.0,7703.0,8271.0,8872.0,Central
Laos,1720.0,1757.0,1844,2260,2651,3079,3934,4757,5946,6431,7506,8964.0,10194.0,11972.0,13266.0,14418.0,15905.0,17055.0,18131.0,18770.0,Southeast
Lebanon,17018.0,17361.0,18837,19486,21160,21497,22023,24827,29119,35400,38444,39927.0,44017.0,46880.0,48096.0,49929.0,51148.0,53028.0,54901.0,50880.0,West
Malaysia,102149.0,101054.0,109833,120025,135869,150356,170514,202869,242080,212026,258844,302643.0,319153.0,328074.0,343088.0,301360.0,301918.0,319249.0,358994.0,365283.0,Southeast
Maldives,801.0,767.0,828,1052,1227,1163,1575,1868,2272,2345,2588,2629.0,2885.0,3286.0,3690.0,4098.0,4367.0,4747.0,5294.0,5598.0,South
Mongolia,1137.0,1268.0,1397,1595,1992,2523,3414,4235,5623,4584,7185,10410.0,12278.0,12582.0,12227.0,11620.0,11154.0,11481.0,13207.0,14206.0,East
Myanmar,7736.0,7131.0,6921,8881,10754,12126,13585,17855,25470,30864,38084,53916.0,59000.0,60903.0,63153.0,62655.0,60090.0,61267.0,66699.0,68802.0,Southeast
Nepal,6536.0,6719.0,6816,7217,8296,9329,10314,11775,14308,14661,18250,21682.0,21703.0,22161.0,22722.0,24361.0,24524.0,28972.0,33112.0,34186.0,South
Oman,22259.0,22206.0,23066,24734,28379,35507,42578,48300,69805,55454,64994,77497.0,87409.0,89936.0,92699.0,78711.0,75129.0,80857.0,91505.0,88061.0,West
Pakistan,89651.0,87389.0,87933,101103,118844,132833,154493,171512,191425,188991,199405,240385.0,252534.0,260257.0,275063.0,304481.0,313623.0,339229.0,356163.0,321071.0,South
Palestine,4314.0,4004.0,3556,3968,4603,5126,5348,5816,7310,8086,9682,11186.0,12208.0,13516.0,13990.0,13972.0,15405.0,16128.0,16277.0,17134.0,West
Philippines,83667.0,78921.0,84307,87039,95002,107420,127653,155980,181007,176132,208369,234217.0,261920.0,283903.0,297484.0,306446.0,318627.0,328481.0,346842.0,376823.0,Southeast
Qatar,18085.0,17498.0,19334,23716,30651,44636,58629,75987,112621,88196,119707,167775.0,186834.0,198728.0,206225.0,161740.0,151732.0,161099.0,183335.0,176371.0,West
