Zero_Crossings,Spectral_Centroid,Spectral_Rolloff,MFCC,Chroma_Frequency,LPCC,Spectral_Bandwidth,Spectral_Flux,Spectral_Contrast,Energy,Tempo,F0,Intensity,Emotion
0,0.258690789775764,1638.6767578125,"[6.357829e-09, 2.5431316e-08, -2.5431316e-08, 6.357829e-09, -1.2715658e-08, -3.1789145e-09, 6.357829e-09, 2.5431316e-08, 0.0, 1.2715658e-08, 0.0, 6.357829e-09, 1.2715658e-08, 6.357829e-09, 6.357829e-09, 1.2715658e-08, -6.357829e-09, -6.357829e-09, 3.1789145e-09, 1.2715658e-08]",0.47753847,0.0066787507,2462.2952051382276,1.3676605,19.084020187827324,0.0039989115,[50.06640625 65.06640625 77.56640625],295.9811935651205,4.3670567e-05,surprised
0,0.35131437349626876,1937.6697427422337,"[1.4107608e-09, -2.2572173e-08, -5.6430434e-09, 5.6430434e-09, 0.0, 1.1286087e-08, 0.0, 1.1286087e-08, 1.1286087e-08, 0.0, -5.6430434e-09, -3.385826e-08, 0.0, 0.0, -1.1286087e-08, -1.1286087e-08, -5.6430434e-09, 0.0, -4.5144347e-08, 1.1286087e-08]",0.3291929,0.010528817,1931.4069453343418,1.5102301,19.55853762589422,0.0051924074,[ 64.33300781  76.33300781  88.33300781 100.83300781],395.749178891784,7.3513336e-05,disgusted
91,0.44013937547771764,1492.663314494681,"[1.0145471e-08, -1.3527295e-08, -3.3818237e-09, 0.0, 1.6909119e-09, 0.0, -6.7636474e-09, 0.0, 3.3818237e-09, 0.0, -6.7636474e-09, -1.5218207e-08, 8.454559e-10, -1.3527295e-08, 3.3818237e-09, 1.3527295e-08, -6.7636474e-09, -1.3527295e-08, 1.3527295e-08, 1.3527295e-08]",0.60636497,0.0061743534,2699.054672856725,1.262117,19.403475076539294,0.011079341,[46.87475586 62.87475586],418.5695500790722,0.0003716739,surprised
93,0.5099242223076575,1268.0227460652372,"[-3.4805632e-09, -2.7844505e-08, 1.3922253e-08, -6.9611263e-09, -3.4805632e-09, -3.4805632e-09, 6.9611263e-09, 6.9611263e-09, 0.0, 3.4805632e-09, -6.526056e-09, 0.0, -1.3922253e-08, 0.0, -6.9611263e-09, -6.9611263e-09, -2.7844505e-08, 1.3922253e-08, 0.0, 6.9611263e-09]",0.61641634,0.005974567,2939.45479260137,1.2517054,19.300334538407586,0.002123093,[34.29980469 54.29980469],377.347443719588,1.3734663e-05,fearful
74,0.37817199782077976,1342.280910326087,"[-2.073205e-08, 0.0, 8.885165e-09, 2.3693772e-08, -1.1846886e-08, -1.851076e-09, 7.404304e-09, -1.1846886e-08, 0.0, -5.923443e-09, 0.0, -5.923443e-09, 4.4425823e-09, 0.0, 7.404304e-10, 0.0, 1.1846886e-08, 5.923443e-09, 8.885165e-09, 5.923443e-09]",0.5137721,0.0050801537,2579.344961283513,1.4415501,21.08878765255145,0.00318992,[ 66.67357337  78.17357337  89.67357337 101.17357337],304.8280434935283,2.6819818e-05,surprised
0,0.30364468947010925,1459.3639026988637,"[-1.3338102e-08, -2.6676204e-08, 0.0, 6.669051e-09, 6.669051e-09, 5.0017883e-09, -1.3338102e-08, -1.3338102e-08, 0.0, 0.0, -1.3338102e-08, 0.0, -1.3338102e-08, 3.3345255e-09, -6.669051e-09, -2.6676204e-08, 0.0, 0.0, 0.0, 0.0]",0.42723364,0.006564574,2276.4634515260454,1.2247721,19.722505908692423,0.0024753462,[ 93.27734375 101.77734375],434.03607109069867,1.8440704e-05,neutral
58,0.5517018172663082,1222.547607421875,"[-1.0217939e-08, 2.7247838e-08, 3.4059797e-09, -3.4059797e-09, -1.3623919e-08, 5.1089697e-09, 1.3623919e-08, 6.8119594e-09, -1.3623919e-08, 5.1089697e-09, 0.0, 1.3623919e-08, 3.4059797e-09, 3.4059797e-09, 6.8119594e-09, 0.0, -1.1920929e-08, 0.0, -1.3623919e-08, 6.8119594e-09]",0.5303684,0.0057875477,2726.8613395790217,1.2157339,19.845608235766242,0.003179462,[37.49979441 56.49979441],395.9526826155414,3.1179985e-05,fearful
5,0.3779301002445531,1641.2925361786913,"[-2.8802244e-08, 0.0, 1.2800998e-08, -9.200717e-09, 1.6001247e-09, -2.5601995e-08, -6.400499e-09, 0.0, 0.0, 0.0, 1.2800998e-08, 2.5601995e-08, 3.2002494e-09, 0.0, -2.5601995e-08, 1.2800998e-08, 0.0, -6.400499e-09, -4.4003428e-09, 1.2800998e-08]",0.495029,0.0041648946,2653.6270043586987,1.3188508,21.042973560982666,0.003755887,[74.5234375 85.0234375 95.0234375],250.15066035400494,3.8777438e-05,happy
0,0.35542819568290956,1699.9669017407718,"[4.800374e-09, 0.0, 0.0, -8.8006855e-09, 1.9201496e-08, 0.0, -1.2800998e-08, 0.0, 1.2800998e-08, -6.400499e-09, 6.400499e-09, 0.0, -1.2800998e-08, 0.0, -1.2800998e-08, 0.0, -1.2800998e-08, 0.0, -2.5601995e-08, 1.2800998e-08]",0.48945406,0.008621704,2475.9349606029114,1.3402587,19.8575689642359,0.0054473537,[ 85.27734375  94.27734375 103.27734375],349.0354791689056,9.30855e-05,fearful
27,0.46246255643008033,1251.5998391544117,"[-3.1165828e-09, 0.0, -2.4932662e-08, -3.1165828e-09, -3.1165828e-09, 6.2331655e-09, -9.3497485e-09, -1.1687185e-08, -1.2466331e-08, -1.2466331e-08, -1.2466331e-08, -6.2331655e-09, -3.1165828e-09, -1.2466331e-08, -1.4024622e-08, 3.1165828e-09, -6.2331655e-09, 0.0, -2.4932662e-08, -1.2466331e-08]",0.45876157,0.0025994107,2594.288581635216,1.1872163,21.379226580725106,0.00745101,[46.87475586 62.87475586],284.21504371086314,0.00016902116,happy
24,0.31025692019536405,2306.4385154030538,"[-1.8965114e-08, -2.1674417e-08, 0.0, 5.4186042e-09, 0.0, 0.0, -1.08372085e-08, -2.1674417e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4186042e-09, 1.08372085e-08, 5.4186042e-09, -2.7093021e-09, 1.08372085e-08, 0.0, 0.0]",0.4730107,0.014355459,2444.944231249618,1.7965566,21.623651441232305,0.0090353545,"[ 76.59960938  86.59960938  96.09960938 106.09960938 115.59960938
 125.59960938]",224.03559952575299,0.00024405817,angry
0,0.2853297727759907,1181.5655048076924,"[1.2226594e-08, 1.2226594e-08, 6.495378e-09, 0.0, -6.113297e-09, -3.0566485e-09, 0.0, 3.0566485e-09, 6.113297e-09, 1.2226594e-08, 0.0, 0.0, -1.2226594e-08, 0.0, 1.8339891e-08, 6.113297e-09, 0.0, 3.0566485e-09, 6.113297e-09, -3.0566485e-09]",0.45595452,0.004113562,2155.257820813179,1.2864456,18.781949775348526,0.0027353207,[56.8515625 70.3515625 84.3515625],365.72358272366864,2.1230753e-05,sad
64,0.36815141851014743,1529.8160918771405,"[1.1839279e-08, 0.0, 0.0, 0.0, -1.3064032e-08, 0.0, 0.0, 4.08251e-09, 6.532016e-09, 6.532016e-09, 1.3064032e-08, -1.3064032e-08, 6.532016e-09, 6.532016e-09, 6.532016e-09, 3.266008e-09, -1.3064032e-08, -1.633004e-09, 8.16502e-09, 3.266008e-09]",0.48941913,0.006375248,2771.4126153205057,1.3148259,19.522449986371026,0.0024631876,[ 85.27734375  94.27734375 103.27734375],447.3437873512712,1.99612e-05,sad
23,0.36645584853241914,1002.8813288762019,"[-1.2226594e-08, 0.0, -1.2226594e-08, 0.0, -3.0566485e-09, 0.0, 4.584973e-09, 6.113297e-09, -1.2226594e-08, -7.641622e-09, -1.069827e-08, -9.169946e-09, 0.0, -1.2226594e-08, 0.0, 0.0, 0.0, 0.0, -1.2226594e-08, -6.877459e-09]",0.40932694,0.0054513733,2490.6668295671293,1.5265424,21.250820909756555,0.0010891483,[52.05145474 66.55145474 82.55145474],342.53938526703405,2.871604e-06,sad
47,0.34771403777999843,1336.6341939786585,"[-2.9075435e-09, -1.1630174e-08, 0.0, 6.541973e-09, -1.1630174e-08, 0.0, 1.1630174e-08, -1.1630174e-08, -1.0176403e-08, -5.815087e-09, -5.815087e-09, 0.0, 8.722631e-09, -2.9075435e-09, 0.0, 0.0, -1.1630174e-08, 1.1630174e-08, 0.0, 0.0]",0.51385945,0.0053712544,2619.3796918401213,1.4149895,21.047653340250207,0.004705368,[100.6328125 108.6328125 115.6328125 122.1328125 128.6328125 135.6328125],345.6329958434128,6.492187e-05,neutral
49,0.3890154889891931,1578.1034751756656,"[1.9750651e-08, 0.0, 0.0, 1.1286087e-08, 0.0, -5.6430434e-09, 5.6430434e-09, -1.1286087e-08, 5.6430434e-09, -5.6430434e-09, -1.1286087e-08, 1.1286087e-08, 0.0, -1.1286087e-08, -8.464565e-09, -5.6430434e-09, 1.1286087e-08, 2.2572173e-08, 2.8215217e-09, 0.0]",0.47612375,0.009962385,2518.04617321703,1.4817239,21.607679332555232,0.0042189616,[67.17357337 78.67357337 90.17357337],336.00105441142205,5.305595e-05,disgusted
32,0.42871970977039,1778.952205882353,"[-1.8699497e-08, -2.4932662e-08, -1.2466331e-08, 0.0, 0.0, -3.8957286e-09, -1.2466331e-08, 0.0, -6.2331655e-09, -4.6748743e-09, 0.0, 6.2331655e-09, -3.1165828e-09, 0.0, -3.8957286e-09, -9.3497485e-09, -1.2466331e-08, 1.2466331e-08, 1.2466331e-08, -6.2331655e-09]",0.51673555,0.008661447,2723.4499312372973,1.4056861,19.228994838111415,0.00473509,[46.37475586 62.37475586],281.7861873080855,6.174976e-05,surprised
0,0.3547729276508962,1826.015625,"[-1.7881394e-08, 0.0, 1.4901161e-09, -1.1920929e-08, -2.9802323e-09, -7.450581e-09, 0.0, -1.1920929e-08, 1.1920929e-08, -5.9604646e-09, 1.1920929e-08, -5.9604646e-09, 0.0, 5.9604646e-09, -5.9604646e-09, 0.0, 0.0, 0.0, 0.0, -1.1920929e-08]",0.49281198,0.006194403,2468.8924570088625,1.6385332,21.9871350694431,0.0046564736,"[129.45383523 134.95383523 140.45383523 145.95383523 150.95383523
 156.45383523 161.95383523]",256.41346928373076,5.3767108e-05,disgusted
0,0.3818475457272334,1376.9692631091102,"[-1.0775981e-08, 0.0, 0.0, 2.0204964e-09, 0.0, 8.081986e-09, -2.6939952e-09, 8.081986e-09, -5.3879905e-09, -5.3879905e-09, 0.0, -2.6939952e-09, 2.6939952e-09, 2.1551962e-08, 0.0, 2.1551962e-08, 1.0775981e-08, -2.0204964e-09, -5.3879905e-09, 1.0775981e-08]",0.4303212,0.012204471,2326.3656331461048,1.2673283,19.963899617169407,0.0018092601,[56.8515625 70.3515625 83.8515625 96.3515625],387.2378810609664,1.1288816e-05,sad
0,0.31537484374219676,2286.7760946584303,"[2.7723091e-08, 2.2178472e-08, -5.544618e-09, 0.0, -5.544618e-09, 1.1089236e-08, -3.4653864e-09, 8.316928e-09, 5.544618e-09, 0.0, 0.0, 0.0, 5.544618e-09, 1.1089236e-08, -1.0396159e-08, 1.1089236e-08, 1.1089236e-08, -1.1089236e-08, -1.1089236e-08, -6.930773e-09]",0.3586182,0.01438494,2053.4184120415957,1.5523075,20.51975151199725,0.012463176,[54.64257812 68.64257812 82.64257812],380.5499652973192,0.0004316923,angry
