Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Region
Afghanistan,,,4367,4553,5146,6167,6925,8556,10297,12066,15325,17890,20293,20170,20616,20057,18020,18883,18401,18876,20136,,,,,,,,,South
Armenia,1912,2118,2376,2807,3577,4900,6384,9206,11662,8648,9260,10142,10619,11121,11610,10553,10546,11527,12458,13619,12642,13861,19503,23725,25121,26251,27295,28896,31021,West
Azerbaijan,5273,5475,6232,7276,8682,13273,21027,33090,48979,44289,52913,65990,69687,74160,75240,50844,37830,41375,47113,48174,42693,54622,69906,70030,74681,79506,84001,88614,93633,West
Bahrain,9063,9189,9594,11075,13150,15969,18505,21730,25711,22938,25713,28777,30749,32539,33388,31051,32235,35474,37802,38654,34622,39303,44388,44870,47094,49353,51466,53721,56119,West
Bangladesh,61687,62537,65036,71755,77152,79530,86028,95374,109765,122760,138094,154097,159749,179676,207102,233687,265236,293755,321379,351238,373902,416265,460201,420516,469346,525290,589000,663597,744067,South
Bhutan,423,441,481,572,649,758,812,995,1260,1184,1399,1695,1772,1806,1784,1974,2064,2294,2509,2452,2421,2442,2642,2683,2837,3056,3342,3547,3758,South
Brunei,6650,6206,6475,7266,8723,10561,12710,13571,15975,11893,13707,18527,19047,18092,17098,12931,11399,12128,13568,13470,12005,14010,16639,15506,15902,16504,16967,17626,18207,Southeast
Cambodia,3667,3992,4289,4665,5334,6286,7267,8630,10341,10391,11232,12817,14056,15227,16702,18082,20043,22206,24598,27087,25771,26601,28544,30628,32934,35530,38415,41404,44657,Southeast
China,1205532,1333649,1465829,1656962,1949446,2290019,2754149,3555655,4577280,5088992,6033830,7492212,8539584,9624928,10524241,11113508,11226897,12265327,13841812,14340600,14862564,17759307,18100044,19373586,20881368,22407691,24035813,25722406,27492803,East
Cyprus,9988,10397,11422,14552,17328,18713,20422,24082,27955,26020,25821,27637,25063,23960,23232,19911,21040,22938,25609,25948,24988,28427,28467,30864,32337,34083,35833,37551,39052,West
Georgia,3144,3311,3493,4103,5269,6590,7979,10458,13158,11069,12242,15107,16489,17188,17627,14953,15141,16242,17599,17477,15846,18625,24606,27947,29948,32533,35239,38124,40936,West
India,476610,493953,523970,618358,721589,834217,949117,1238700,1224096,1365373,1708460,1823052,1827637,1856721,2039127,2103588,2294797,2651474,2702930,2835606,2671596,3150307,3386403,3736882,4062154,4403354,4765545,5153012,5575474,South
Indonesia,179482,174507,212807,255428,279556,310815,396293,470144,558582,577539,755256,892590,919002,916646,891051,860741,932066,1015488,1042711,1119452,1062532,1187732,1318807,1391778,1508547,1631609,1760505,1898989,2048504,Southeast
Iran,366917,330978,132682,158416,188961,228428,272361,360928,425699,440408,517899,625430,421882,428321,460809,408288,458042,486829,246318,241658,195528,289294,352213,367968,388838,405547,423330,442499,465846,South
Iraq,25857,18936,18970,15800,36642,50065,65144,88833,131614,111660,138517,185750,218032,234638,234651,177634,167807,192343,227186,234019,169354,206517,270364,267893,277826,289104,301808,314934,329103,West
Israel,136034,134637,125060,131299,139974,147084,158670,184053,220530,211968,238364,266792,262283,297733,314330,303414,322103,358246,376692,402470,413268,488527,522530,539223,563267,590035,618040,648112,679463,West
Japan,4968360,4374710,4182845,4519564,4893135,4831467,4601663,4579750,5106679,5289494,5759072,6233148,6272362,5212328,4896995,4444931,5003678,4930837,5040881,5117995,5048790,5005537,4233538,4409738,4526480,4731496,4923430,5077123,5344032,East
Jordan,8725,9268,9972,10575,11771,13134,15795,17957,22648,24538,27134,29524,31679,34503,36900,38642,39949,41667,43432,45058,44245,45809,48836,52061,55013,58072,61302,64712,68319,West
Kazakhstan,18292,22153,24637,30834,43152,57125,81003,104850,133442,115309,148047,192626,207999,236635,221416,184388,137289,166806,179340,181667,171082,197112,225784,245695,259683,275633,286957,298179,316213,Central
Kuwait,37721,34886,38135,47844,59439,80807,101559,114677,147402,105992,115401,154020,174066,174179,162695,114606,109381,120687,138202,136192,105949,136799,184558,164713,165209,166604,169566,172647,176373,West
Kyrgyzstan,1368,1525,1606,1920,2214,2459,2837,3807,5139,4690,4794,6198,6604,7335,7467,6678,6813,7703,8271,8872,7792,8747,11052,12039,12842,13711,14610,15461,16231,Central
Laos,1720,1757,1844,2260,2651,3079,3934,4757,5946,6431,7506,8964,10194,11972,13266,14418,15905,17055,18131,18770,18511,18533,15304,14091,13940,14701,15632,16624,17701,Southeast
Lebanon,17018,17361,18837,19486,21160,21497,22023,24827,29119,35400,38444,39927,44017,46880,48096,49929,51148,53028,54901,50880,24494,,,,,,,,,West
Malaysia,102149,101054,109833,120025,135869,150356,170514,202869,242080,212026,258844,302643,319153,328074,343088,301360,301918,319249,358994,365283,337612,373034,407923,447026,481798,520313,559141,595072,634978,Southeast
Maldives,801,767,828,1052,1227,1163,1575,1868,2272,2345,2588,2629,2885,3286,3690,4098,4367,4747,5294,5598,3736,5386,6207,7004,7613,8288,8950,9628,10322,South
Mongolia,1137,1268,1397,1595,1992,2523,3414,4235,5623,4584,7185,10410,12278,12582,12227,11620,11154,11481,13207,14206,13313,15286,16833,16908,17726,19025,20366,21768,23561,East
Myanmar,7736,7131,6921,8881,10754,12126,13585,17855,25470,30864,38084,53916,59000,60903,63153,62655,60090,61267,66699,68802,81257,65160,56757,63988,67348,70772,74348,78262,82780,Southeast
Nepal,6536,6719,6816,7217,8296,9329,10314,11775,14308,14661,18250,21682,21703,22161,22722,24361,24524,28972,33112,34186,33434,36289,40149,42097,46207,50211,54523,59198,64328,South
Oman,22259,22206,23066,24734,28379,35507,42578,48300,69805,55454,64994,77497,87409,89936,92699,78711,75129,80857,91505,88061,73971,88192,114667,104902,109689,112324,115584,119526,123936,West
Pakistan,89651,87389,87933,101103,118844,132833,154493,171512,191425,188991,199405,240385,252534,260257,275063,304481,313623,339229,356163,321071,300410,348227,376493,,,,,,,South
Palestine,4314,4004,3556,3968,4603,5126,5348,5816,7310,8086,9682,11186,12208,13516,13990,13972,15405,16128,16277,17134,15532,18109,18754,19206,19996,20743,21416,22282,23184,West
Philippines,83667,78921,84307,87039,95002,107420,127653,155980,181007,176132,208369,234217,261920,283903,297484,306446,318627,328481,346842,376823,361751,394086,404261,440901,475646,512006,551120,593712,640180,Southeast
Qatar,18085,17498,19334,23716,30651,44636,58629,75987,112621,88196,119707,167775,186834,198728,206225,161740,151732,161099,183335,176371,144411,179677,225477,219570,225670,237335,247667,257570,267842,West
Russia,278264,328475,370062,461518,633294,817717,1060901,1393416,1779109,1307927,1633111,2046621,2191484,2288428,2048836,1356704,1280648,1575140,1653006,1695724,1488119,1836631,2215294,2062649,2118252,2159054,2206010,2234733,2266255,North
Saudi Arabia,189515,184137,189606,215807,258742,328206,376398,415687,519797,429098,528207,676635,741850,753864,766606,669485,665999,714994,846584,838565,734271,868586,1108149,1061902,1082076,1120109,1161992,1207509,1256783,West
Singapore,96077,89794,92538,97646,115034,127808,148627,180942,193617,194150,239808,279357,295093,307576,314864,307999,319030,343273,376870,376837,348392,423797,466789,515548,537255,561337,586838,613422,641321,Southeast
South Korea,576483,547743,626989,702696,792532,934708,1052610,1172465,1049168,943739,1143568,1253419,1278046,1370633,1484489,1466039,1499362,1623074,1725373,1651423,1644676,1810966,1665246,1721909,1792727,1870628,1949776,2033334,2123030,East
Sri Lanka,20007,19236,20238,22352,24423,28880,33447,38270,48177,49750,58643,67725,70392,76934,82483,85091,88000,94376,94484,89015,85349,88979,75296,,,,,,,South
Syria,19861,20979,22758,21702,25204,28881,33824,40488,52631,53939,60043,,,,,,,,,,60043,,,,,,,,,West
Tajikistan,991,1057,1212,1555,2073,2311,2811,3712,5135,4977,5642,6523,7592,8506,9242,7857,6994,7535,7762,8301,8134,8934,10467,12796,14241,15373,16601,17905,19320,Central
Thailand,126132,120105,134177,152142,172752,189084,221579,263007,290970,281399,340928,370929,397722,420364,407373,401142,413497,456523,506547,543923,500525,505523,536160,574231,616998,653384,690648,729490,767000,Southeast
Timor-Leste,367,477,470,490,441,462,454,543,648,727,882,1042,1160,1396,1447,1594,1651,1596,1564,2029,2158,3621,3659,1988,2002,2146,2299,2463,2638,Southeast
Turkey,274321,202248,240191,314752,409127,506186,555126,680489,770820,648797,776558,838508,880141,957504,938512,864071,869280,858932,779694,759450,720110,817508,905527,1029303,1087052,1146192,1209774,1272781,1334701,West
Turkmenistan,8487,11717,14703,19307,23991,29023,36154,43875,36363,34162,34788,44070,49858,51301,55523,44060,41698,46365,48686,52961,53194,64367,78003,82649,91796,102240,113826,126927,141675,Central
United Arab Emirates,103893,103312,109816,124346,147824,180617,222117,257916,315475,253547,289787,350666,384610,400219,414105,370276,369255,390517,427049,417990,349473,415022,507535,498978,519226,545063,573956,605332,639339,West
Uzbekistan,17195,14581,12106,12697,15045,17939,21344,27963,35858,41945,49772,60213,67520,73192,80848,85662,85658,62081,52870,60284,60225,69601,80418,92332,103530,116282,131765,148984,168662,Central
Vietnam,39585,41297,44563,50233,62877,73197,84301,98426,124756,129022,143212,171312,195169,212728,232888,236795,252146,277071,304470,331818,346310,369736,406452,449094,498373,550470,605299,662903,725529,Southeast
Yemen,9679,9853,10693,11778,13868,16732,19063,21651,26911,25130,30907,32726,35401,40415,43229,42444,31318,26842,21606,21888,18373,16957,20645,19529,21102,24915,28624,30690,32223,West
